stichdatum,plz,geschlecht,vorname,anzahl,rang,ortbez18
2021-03-01,1453,m,Laurent,7,4,Mauborget/Bullet
2021-03-01,1454,w,Nathalie,6,5,L'Auberson/La Vraconnaz
2021-03-01,1454,m,Eric,13,2,L'Auberson/La Vraconnaz
2021-03-01,1454,m,Alain,12,3,L'Auberson/La Vraconnaz
2021-03-01,1462,w,Maria,42,1,Yvonand
2021-03-01,1462,w,Nathalie,29,2,Yvonand
2021-03-01,1462,w,Sarah,18,5,Yvonand
2021-03-01,1462,m,André,25,4,Yvonand
2021-03-01,1462,m,Michel,25,4,Yvonand
2021-03-01,1463,m,n/a,5,1,Rovray
2021-03-01,1463,m,n/a,4,2,Rovray
2021-03-01,1464,w,n/a,3,3,Chavannes-le-Chêne/Chêne-Pâquier
2021-03-01,1464,m,Philippe,7,1,Chavannes-le-Chêne/Chêne-Pâquier
2021-03-01,1464,m,n/a,5,2,Chavannes-le-Chêne/Chêne-Pâquier
2021-03-01,1464,m,n/a,4,3,Chavannes-le-Chêne/Chêne-Pâquier
2021-03-01,1468,w,Christine,11,2,Cheyres
2021-03-01,1468,m,Daniel,21,1,Cheyres
2021-03-01,1468,m,Peter,19,2,Cheyres
2021-03-01,1470,w,Monique,41,3,Lully FR/Estavayer-le-Lac/Bollion/Seiry
2021-03-01,1470,m,David,58,3,Lully FR/Estavayer-le-Lac/Bollion/Seiry
2021-03-01,1473,w,Nathalie,8,1,Châtillon FR/Font
2021-03-01,1473,w,Valérie,7,3,Châtillon FR/Font
2021-03-01,1473,m,Philippe,15,1,Châtillon FR/Font
2021-03-01,1473,m,Olivier,7,4,Châtillon FR/Font
2021-03-01,1474,w,Véronique,7,2,Châbles FR
2021-03-01,1474,w,Nathalie,6,4,Châbles FR
2021-03-01,1474,m,Christian,7,1,Châbles FR
2021-03-01,1474,m,Christophe,7,1,Châbles FR
2021-03-01,1474,m,Fabrice,6,4,Châbles FR
2021-03-01,1474,m,Philippe,6,4,Châbles FR
2021-03-01,1475,m,Michel,13,1,Autavaux/Montbrelloz/Forel FR
2021-03-01,1475,m,Marc,10,3,Autavaux/Montbrelloz/Forel FR
2021-03-01,1482,w,Sandra,10,2,Cugy FR
2021-03-01,1482,w,Catherine,9,3,Cugy FR
2021-03-01,1482,w,Sylvie,8,4,Cugy FR
2021-03-01,1482,w,Nathalie,8,4,Cugy FR
2021-03-01,1482,w,Marguerite,8,4,Cugy FR
2021-03-01,1482,m,Daniel,15,1,Cugy FR
2021-03-01,1482,m,Denis,11,3,Cugy FR
2021-03-01,1483,w,Karine,8,2,Frasses/Montet (Broye)/Vesin
2021-03-01,1483,w,Monique,7,3,Frasses/Montet (Broye)/Vesin
2021-03-01,1483,w,Nicole,6,5,Frasses/Montet (Broye)/Vesin
2021-03-01,1483,w,Rose-Marie,6,5,Frasses/Montet (Broye)/Vesin
2021-03-01,1483,m,Christophe,9,4,Frasses/Montet (Broye)/Vesin
2021-03-01,1483,m,René,8,5,Frasses/Montet (Broye)/Vesin
2021-03-01,1484,w,Patricia,8,1,Aumont/Granges-de-Vesin
2021-03-01,1484,w,Nathalie,7,2,Aumont/Granges-de-Vesin
2021-03-01,1484,m,Michel,7,2,Aumont/Granges-de-Vesin
2021-03-01,1485,w,Nathalie,6,1,Nuvilly
2021-03-01,1485,w,n/a,5,2,Nuvilly
